lea_code,name,level
42,Sheila Skip Nowell Leadership Academy (II),Secondary
31,Anna M. McCabe School,PK-3/Elementary
31,Old County Road School,Elementary
31,Raymond C. LaPerche School,Elementary
31,Smithfield Senior High School,Secondary
31,Vincent J. Gallagher Middle School,Middle
31,William Winsor School,Elementary
32,Broad Rock Middle School,Elementary/Middle
32,Curtis Corner Middle School,Middle
32,Matunuck School,Elementary
32,Peace Dale Elementary School,Elementary
32,South Kingstown High School,Secondary
32,South Kingstown Integrated Pre-school,PK Only
32,Wakefield Elementary School,Elementary
32,West Kingston Elementary School,Elementary
43,SouthSide Elementary Charter School,Elementary
55,The Compass School,Elementary
62,The Greene School,Secondary
68,The Hope Academy,Elementary
33,Fort Barton School,Elementary
33,Pocasset School,Elementary
33,Tiverton High School,Secondary
33,Tiverton Middle School,Middle
33,Walter E. Ranger School,Elementary
61,Trinity Academy for the Performing Arts,Middle
49,Urban Collaborative Accelerated Program,Secondary
64,Village Green Virtual Charter School,Secondary
35,Aldrich Junior High School,Middle
35,Cedar Hill School,Elementary
35,Cottrell F. Hoxsie School,Elementary
35,Drum Rock Early Childhood Center,Elementary
35,E. G. Robertson School,PK-3/Elementary
35,Francis School,PK-3/Elementary
35,Gorton Junior High School,Middle
35,Greenwood School,Elementary
35,Harold F. Scott School,PK-3/Elementary
35,Holliman School,PK-3/Elementary
35,John Wickes School,PK-3/Elementary
35,Lippitt School,PK-3/Elementary
35,Norwood School,PK-3/Elementary
35,Oakland Beach Elementary School,PK-3/Elementary
35,Park School,PK-3/Elementary
35,Pilgrim High School,Secondary
35,Randall Holden School,Elementary
35,Sherman School,Elementary
35,Toll Gate High School,Secondary
35,Warwick Neck School,Elementary
35,Warwick Veterans Memorial HS,Secondary
35,Winman Junior High School,Middle
35,Wyman School,Elementary
76,West Bay Collaborative,Elementary/Secondary
38,Greenbush Elementary School,Elementary
38,John F. Deering Middle School,Middle
38,John F. Horgan Elementary School,Elementary
38,Maisie E. Quinn Elementary School,PK Only
38,Wakefield Hills Elementary School,PK-3/Elementary
38,West Warwick Senior High School,Secondary
36,Bradford Elementary School,Elementary
36,Dunn's Corners School,Elementary
36,Springbrook Elementary School,Elementary
36,State Street School,PK-3/Elementary
36,Westerly High School,Secondary
36,Westerly Middle School,Middle
39,Bernon Heights School,Elementary
39,Citizens Memorial School,Elementary
39,Globe Park School                                 ,Elementary
39,Governor Aram J. Pothier School,PK-3/Elementary
39,Harris School,Elementary
39,Kevin K. Coleman Elementary School,Elementary
39,Leo A. Savoie School,Elementary
39,Woonsocket High School,Secondary
39,Woonsocket Middle School,Middle
